CID_No,GrossEnergy,PumpRunHours,GrossLPD,Faults
100902,3919,2033,22402979,73
100740,4977,3168,29947451,82
100909,3928,2564,22199049,68
100711,5286,3580,32609704,137
100746,5000,3299,29552069,113
100765,4797,3066,28938189,79
100773,4603,2713,28219460,116
100917,5037,2814,30171989,103
100899,3572,1810,20074053,75
100739,5335,3598,30998209,93
100758,4651,3062,28520055,105
100784,5056,2500,29678485,83
100723,4767,3147,28758549,117
100775,4691,2832,26824970,97
100715,5214,3511,32131417,85
100769,4899,3110,28193054,126
